community_id,eu_count,load_kW,cv_tol,avg_start,stop_updates,price_update_count,avg_samples,formal_cv,held_cv,lambda_step,max_age,runtime_s,success,formal_stable,no_nan_inf,audit_pass,stop_reason,delay_hash,update_hash,qre_hash,error_message
1,85,1576.2048874884,15.762048874884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
2,85,1639.42838386721,16.3942838386721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
3,50,697.628663223798,6.97628663223797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
4,85,1722.90845493734,17.2290845493734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
5,85,1628.32727533818,16.2832727533818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
6,50,971.436209667866,9.71436209667866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
7,70,1508.60650971339,15.0860650971339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
8,50,1171.96463919112,11.7196463919112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
9,100,2011.27774947446,20.1127774947446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
10,85,1742.16998861864,17.4216998861864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
11,85,1812.97976519712,18.1297976519712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
12,120,2323.94112483226,23.2394112483226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
13,50,895.157512634445,8.95157512634445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
14,50,1017.41717560317,10.1741717560317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
15,50,1090.87799085867,10.9087799085867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,,,,,
