community_id,eu_count,load_kW,cv_tol,avg_start,stop_updates,price_update_count,avg_samples,formal_cv,held_cv,lambda_step,max_age,runtime_s,success,formal_stable,no_nan_inf,audit_pass,stop_reason,delay_hash,update_hash,qre_hash,error_message
1,85,1576.2048874884,15.762048874884,2033,3840,3840,1807,15.7263210655965,2.63566228534432,2.11732498450745e-07,6,9.4884022,1,1,1,1,dynamic_average_price_step_and_relative_cv,2884567864,2534796045,1578320087,
2,85,1639.42838386721,16.3942838386721,2054,3776,3776,1722,16.3557959130878,3.02115499522938,1.83997876906927e-07,6,8.8323276,1,1,1,1,dynamic_average_price_step_and_relative_cv,2672912920,1389819355,262626427,
3,50,697.628663223798,6.97628663223797,994,2725,2725,1731,6.95751252631101,0.299138338302498,4.98187744668588e-08,6,3.7925296,1,1,1,1,dynamic_average_price_step_and_relative_cv,3506153350,598670508,1792752654,
4,85,1722.90845493734,17.2290845493734,2082,3700,3700,1618,17.1951479974459,3.57217558969569,2.62412494733688e-07,6,6.3383837,1,1,1,1,dynamic_average_price_step_and_relative_cv,2072093579,3461791856,1713487388,
5,85,1628.32727533818,16.2832727533818,2043,3778,3778,1735,16.2495944591089,2.95743053713954,2.40802327411416e-07,6,6.1430287,1,1,1,1,dynamic_average_price_step_and_relative_cv,2035686948,826285311,1109057509,
6,50,971.436209667866,9.71436209667866,608,1774,1774,1166,9.67658777471024,0.454384547121322,8.777885761313e-08,6,2.2919174,1,1,1,1,dynamic_average_price_step_and_relative_cv,2316305030,1578487415,2217851965,
7,70,1508.60650971339,15.0860650971339,882,1848,1848,966,15.0262418196085,2.41971513168909,3.33818030717747e-07,6,3.8024606,1,1,1,1,dynamic_average_price_step_and_relative_cv,327693834,1744508084,3541263298,
8,50,1171.96463919112,11.7196463919112,653,1643,1643,990,11.6682832991426,0.979484779362565,2.24017884797867e-07,6,2.7704483,1,1,1,1,dynamic_average_price_step_and_relative_cv,2787648142,2429513813,1238675824,
9,100,2011.27774947446,20.1127774947446,1618,2800,2800,1182,18.9715347335174,4.95797729076833,2.51644480697699e-07,6,7.5440087,1,1,1,1,dynamic_average_price_step_and_relative_cv,518996796,1103955507,690466997,
10,85,1742.16998861864,17.4216998861864,1286,2377,2377,1091,17.3641359778716,3.80566403549562,2.50875429597119e-07,6,5.2786746,1,1,1,1,dynamic_average_price_step_and_relative_cv,2011436864,1525145408,360670767,
11,85,1812.97976519712,18.1297976519712,1362,2427,2427,1065,18.0775887463631,4.36755084157517,2.77794299036183e-07,6,5.326646,1,1,1,1,dynamic_average_price_step_and_relative_cv,2574534202,2985944530,468776951,
12,120,2323.94112483226,23.2394112483226,1211,2160,2160,949,18.8583057728067,4.95196380428052,2.04120905122895e-07,6,7.0613374,1,1,1,1,dynamic_average_price_step_and_relative_cv,4256706802,4048870822,231337393,
13,50,895.157512634445,8.95157512634445,378,1230,1230,852,8.91000638388084,0.461429736797641,9.01085989435391e-08,6,2.1575015,1,1,1,1,dynamic_average_price_step_and_relative_cv,3196504653,711637462,851533386,
14,50,1017.41717560317,10.1741717560317,486,1467,1467,981,10.1333482175098,0.541187662878372,7.78485888114355e-08,6,1.5308048,1,1,1,1,dynamic_average_price_step_and_relative_cv,582380053,3233452660,1641958642,
15,50,1090.87799085867,10.9087799085867,461,1243,1243,782,10.8540990822075,0.763938967831848,1.44980156394081e-07,6,2.1327932,1,1,1,1,dynamic_average_price_step_and_relative_cv,689602520,2382846212,439980944,
16,120,2332.0868931589,23.320868931589,1137,2050,2050,913,18.811737117427,4.94719220136591,2.04979274887052e-07,6,5.2984847,1,1,1,1,dynamic_average_price_step_and_relative_cv,2556119254,1300856101,3019823807,
17,120,2636.43926829096,26.3643926829096,1594,2719,2719,1125,18.9477844108351,4.95196475668206,1.39597680567927e-07,6,7.1435366,1,1,1,1,dynamic_average_price_step_and_relative_cv,1867494790,1145244655,2343442231,
18,50,989.413364394601,9.89413364394601,444,1389,1389,945,9.8526357546375,0.495250872947167,7.90240056586233e-08,6,1.9205719,1,1,1,1,dynamic_average_price_step_and_relative_cv,1363483302,1141897098,1631271575,
19,70,1368.44981301835,13.6844981301835,625,1455,1455,830,13.617393991805,1.76611638275836,1.8839252245717e-07,6,2.6040521,1,1,1,1,dynamic_average_price_step_and_relative_cv,3847684416,1573129848,261824035,
20,120,2343.4558391556,23.434558391556,1263,2245,2245,982,18.8905059994542,4.95131788153549,1.80814494363246e-07,6,5.6823935,1,1,1,1,dynamic_average_price_step_and_relative_cv,3960111762,3590395395,3953010694,
21,80,1538.49755440146,15.3849755440146,696,1499,1499,803,15.3209619391378,2.66634161792416,2.32792270099536e-07,6,2.6908041,1,1,1,1,dynamic_average_price_step_and_relative_cv,2617697964,3796232489,3824080345,
22,80,1527.42371776928,15.2742371776928,692,1488,1488,796,15.2017641537803,2.59071574875264,2.55948294614061e-07,6,3.1728959,1,1,1,1,dynamic_average_price_step_and_relative_cv,4179643512,1959505155,3534315236,
23,90,1687.6498227667,16.876498227667,823,1651,1651,828,16.8066811552674,3.5497357464244,2.58721923496186e-07,6,3.8979449,1,1,1,1,dynamic_average_price_step_and_relative_cv,3778639459,1312992426,266305954,
24,90,1615.05137073615,16.1505137073615,749,1597,1597,848,16.0826266904992,3.08278211864476,2.09908473006171e-07,6,3.8263913,1,1,1,1,dynamic_average_price_step_and_relative_cv,2336248638,2155284415,3041728408,
25,90,1801.04956176708,18.0104956176708,761,1459,1459,698,17.9247370547016,4.40425253137334,3.20628724764793e-07,6,3.4209553,1,1,1,1,dynamic_average_price_step_and_relative_cv,873305153,1836794838,2681308565,
26,50,989.506732247382,9.89506732247382,452,1337,1337,885,9.84666035678336,0.504478136262378,9.05978073117986e-08,6,1.8227862,1,1,1,1,dynamic_average_price_step_and_relative_cv,2477162168,977965553,1554417284,
27,120,2556.14967513886,25.5614967513886,1413,2456,2456,1043,18.8977833738364,4.95116997855303,1.60738567442364e-07,6,6.1051072,1,1,1,1,dynamic_average_price_step_and_relative_cv,3910604855,3523265897,2289802231,
28,110,2221.05144681522,22.2105144681522,1311,2313,2313,1002,18.8756266626223,4.94540730165539,1.72205498499833e-07,6,5.6687508,1,1,1,1,dynamic_average_price_step_and_relative_cv,2337431639,1981332561,603524538,
29,80,1546.68266953021,15.4668266953021,868,1810,1810,942,15.4049832503463,2.63600244343678,1.82170586934816e-07,6,3.4135057,1,1,1,1,dynamic_average_price_step_and_relative_cv,3967753902,2213496102,3229116659,
30,78,1477.90302620254,14.7790302620254,576,1354,1354,778,14.7080090583399,2.33574232074105,2.14003068488289e-07,6,2.9233893,1,1,1,1,dynamic_average_price_step_and_relative_cv,2109964424,1582218979,1497894251,
31,80,1588.05704003961,15.8805704003961,808,1745,1745,937,15.8232164096905,2.87681118356687,1.67830112432488e-07,6,3.2052955,1,1,1,1,dynamic_average_price_step_and_relative_cv,3440092225,1233916082,2693002459,
32,80,1583.01015542182,15.8301015542182,804,1662,1662,858,15.7644735753609,2.88254313500505,2.20764181241284e-07,6,3.0805452,1,1,1,1,dynamic_average_price_step_and_relative_cv,3345116532,3473436682,156783191,
33,80,1384.37394112316,13.8437394112316,647,1630,1630,983,13.7831878685799,1.79281740186693,1.37033956293386e-07,6,3.1624887,1,1,1,1,dynamic_average_price_step_and_relative_cv,468640704,3871599371,3572568586,
34,85,1684.99482963349,16.8499482963349,820,1620,1620,800,16.7685737105845,3.53714779533146,2.50186596606472e-07,6,3.4191859,1,1,1,1,dynamic_average_price_step_and_relative_cv,3282425036,2380199354,2755633921,
35,70,1410.86149029325,14.1086149029325,676,1527,1527,851,14.0499360108377,1.97010773263378,1.95645825123991e-07,6,2.8097645,1,1,1,1,dynamic_average_price_step_and_relative_cv,2161046316,2832379870,1867030906,
36,80,1575.73415931577,15.7573415931577,832,1712,1712,880,15.6964908720078,2.82907071657917,1.98316228550155e-07,6,3.4964846,1,1,1,1,dynamic_average_price_step_and_relative_cv,1291363275,1882087817,1820105134,
37,80,1743.36287900969,17.4336287900969,1998,3498,3498,1500,17.3918543231755,3.71714266365507,2.83223894032014e-07,6,5.4535255,1,1,1,1,dynamic_average_price_step_and_relative_cv,2483271902,3131526844,2576270960,
38,58,1237.26610318892,12.3726610318892,1298,2904,2904,1606,12.3433608318659,1.09648765927295,2.10006526363271e-07,6,3.3285892,1,1,1,1,dynamic_average_price_step_and_relative_cv,3800847492,1644702521,1308903959,
39,80,1425.25489119431,14.2525489119431,1859,3768,3768,1909,14.2254463959734,1.8447252170356,1.91583387376681e-07,6,6.1598512,1,1,1,1,dynamic_average_price_step_and_relative_cv,1838043665,1868174353,2959890904,
40,69,1313.92423064489,13.1392423064489,1558,3357,3357,1799,13.1125642740151,1.36572659901958,1.46997011146732e-07,6,4.6105279,1,1,1,1,dynamic_average_price_step_and_relative_cv,3229976936,3115206895,3179242912,
41,50,781.94304503297,7.8194304503297,1010,2741,2741,1731,7.79805307171921,0.335277389589805,7.39105936453655e-08,6,2.9581387,1,1,1,1,dynamic_average_price_step_and_relative_cv,1424564905,793372248,3735337404,
42,85,1530.482340865,15.30482340865,2015,3886,3886,1871,15.2714789015708,2.3770180987899,1.25574061066169e-07,6,6.2875857,1,1,1,1,dynamic_average_price_step_and_relative_cv,1263788166,878148579,2093289683,
43,50,864.550336135549,8.64550336135549,1056,2786,2786,1730,8.62206425578597,0.371509429262801,6.64322141463725e-08,6,2.9277902,1,1,1,1,dynamic_average_price_step_and_relative_cv,3897041140,2119298595,3672201977,
44,80,1449.26540858372,14.4926540858372,1868,3743,3743,1875,14.4609026909927,1.95682647989702,1.47893664315113e-07,6,6.0189288,1,1,1,1,dynamic_average_price_step_and_relative_cv,552229909,592720322,3429826527,
45,80,1603.33608449068,16.0333608449068,1929,3590,3590,1661,15.9995774414347,2.81844247575987,2.80987446754644e-07,6,5.3394563,1,1,1,1,dynamic_average_price_step_and_relative_cv,1643348378,229511477,369039620,
46,80,1432.69658220973,14.3269658220973,1841,3739,3739,1898,14.2960927339127,1.87963731736477,1.25555692759294e-07,6,5.8185376,1,1,1,1,dynamic_average_price_step_and_relative_cv,236740467,1927766571,3844286737,
47,110,2147.58052952024,21.4758052952024,1090,1978,1978,888,18.8166249469633,4.9456453340797,2.07935026155792e-07,6,5.315622,1,1,1,1,dynamic_average_price_step_and_relative_cv,1907068929,3944707964,1585886982,
48,80,1673.40537922999,16.7340537922999,659,1297,1297,638,16.640785475908,3.56668099965776,3.78304399625828e-07,6,3.1213905,1,1,1,1,dynamic_average_price_step_and_relative_cv,2261175945,105316196,952052613,
49,400,8334.45018689556,83.3445018689556,8788,13303,13303,4515,19.396361623903,4.98881967926172,1.63590867519048e-08,6,98.0622912,1,1,1,1,dynamic_average_price_step_and_relative_cv,1228407103,1618257572,1191705919,
50,68,1270.86431814191,12.7086431814191,798,1951,1951,1153,12.6602892217685,1.27601021662082,1.51834784564708e-07,6,3.1567619,1,1,1,1,dynamic_average_price_step_and_relative_cv,2613813446,4026786587,274474757,
51,90,1856.79760643367,18.5679760643367,1596,2820,2820,1224,18.5210911446217,4.5987240969929,2.17813273473144e-07,6,4.6945501,1,1,1,1,dynamic_average_price_step_and_relative_cv,2476973900,2185413711,3371745899,
52,90,1741.27740045898,17.4127740045898,1366,2552,2552,1186,17.361333666615,3.77539007633675,2.91426413112639e-07,6,4.9212624,1,1,1,1,dynamic_average_price_step_and_relative_cv,2285136158,2802859163,1391177207,
53,90,1900.97499470887,19.0097499470887,1307,2301,2301,994,18.8810210630423,4.94454082292805,3.35012520974454e-07,6,5.0339083,1,1,1,1,dynamic_average_price_step_and_relative_cv,2777050257,2442408712,946944673,
54,90,1853.98281257689,18.5398281257689,1359,2418,2418,1059,18.4779853459299,4.61252171118997,3.01211315528738e-07,6,5.0993692,1,1,1,1,dynamic_average_price_step_and_relative_cv,1590754960,1387481315,2289700649,
55,90,1698.75722548304,16.9875722548304,903,1806,1806,903,16.9267121161581,3.59754027493767,2.04169356365913e-07,6,4.3906469,1,1,1,1,dynamic_average_price_step_and_relative_cv,1292685789,2035583866,804247612,
